 1.854e+01 2.333e-04 4.256e-04 9.998e-01 9.996e-01
 1.891e+01 1.730e-04 3.115e-04 9.998e-01 9.997e-01
 1.930e+01 1.123e-04 2.071e-04 9.999e-01 9.998e-01
 1.970e+01 8.019e-05 1.456e-04 9.999e-01 9.999e-01
 2.013e+01 4.788e-05 8.938e-05 1.000e+00 9.999e-01
 2.059e+01 3.288e-05 6.027e-05 1.000e+00 9.999e-01
 2.106e+01 1.778e-05 3.361e-05 1.000e+00 1.000e+00
 2.157e+01 1.177e-05 2.177e-05 1.000e+00 1.000e+00
 2.210e+01 5.719e-06 1.095e-05 1.000e+00 1.000e+00
 2.267e+01 3.610e-06 6.734e-06 1.000e+00 1.000e+00
 2.327e+01 1.492e-06 2.894e-06 1.000e+00 1.000e+00
